text,gloss
আমি প্রতিদিন সকালে ঘুম থেকে উঠি।,আমি প্রতিদিন সকাল ঘুম থেকে উঠা
মা আজ খুব ভালো ইলিশ মাছ রান্না করেছেন।,মা আজ খুব ভালো ইলিশ মাছ রান্না করা
আমার ভাই বোনদের সাথে খেলতে ভালোবাসে।,আমার ভাই বোন একসাথে খেলা ভালোবাসা
তুমি কি দুপুরের খাবার খেয়েছো?,তুমি দুপুরের খাবার খাওয়া
বাবা সন্ধ্যায় বাজার থেকে ফিরবেন।,বাবা সন্ধ্যা বাজার ফিরা
ভাতের সাথে ডাল না হলে আমার চলেই না।,ভাতের সাথে ডাল না আমার না চলা
দাদি আমাদের পুরানো দিনের গল্প শোনাতেন।,দাদি আমাদের পুরানো দিন গল্প শোনা
বাচ্চারা মিষ্টি খেতে খুব পছন্দ করে।,বাচ্চারা মিষ্টি খাওয়া পছন্দ
সে রোজ নিয়ম করে হাঁটতে যায়।,সে রোজ নিয়ম করে হাটতে যাওয়া
ফ্রিজে রাখা বাসি খাবার খাওয়া ঠিক নয়।,ফ্রিজে রাখা বাসি খাবার খাওয়া ঠিক না
আমার ছেলেটা স্কুলে যেতে চায় না।,আমার ছেলে স্কুল যাওয়া চায় না
আমরা সবাই মিলে ঈদে বাড়ি যাই।,আমরা সবাই মিলে ঈদ বাড়ি যাওয়া
আপনি কি চা খাবেন?,আপনি চা খাওয়া
শিক্ষকরা ছাত্রদের যত্ন সহকারে পড়ান।,শিক্ষকরা ছাত্ররা যত্ন নিয়ে পড়ানো
পোলাওয়ের চালটা ভালো করে ধুয়ে নাও।,পোলাওয়ের চাল ভালো করে ধোয়া
অতিরিক্ত তেল-মশলা স্বাস্থ্যের জন্য ক্ষতিকর।,অতিরিক্ত তেল-মশলা স্বাস্থ্য ক্ষতিকর
সে পরীক্ষায় প্রথম হয়েছে।,সে পরীক্ষা প্রথম হওয়া
আমি আমার ঘর গুছিয়ে রাখছিলাম।,আমি আমার ঘর গোছানো
তার সাথে আমার অনেকদিন দেখা হয় না।,তার সাথে আমার অনেকদিন দেখা না
বিরিয়ানির গন্ধটা দারুন লাগছে।,বিরিয়ানির গন্ধ দারুণ
বস আজ অফিসে নতুন একটা নিয়ম চালু করেছেন।,বস আজ অফিস নতুন নিয়ম চালু
ঢাকার রাস্তায় প্রতিদিন অনেক জ্যাম থাকে।,ঢাকার রাস্তায় প্রতিদিন অনেক জ্যাম
কাল আমাদের গণিত পরীক্ষা ছিল।,গতকাল আমাদের গণিত পরীক্ষা ছিলো
আমি একটি সফটওয়্যার কোম্পানিতে চাকরি করি।,আমি একটি সফটওয়্যার কোম্পানি চাকরি করা
সে বাসের জন্য অপেক্ষা করছিল।,সে বাস জন্য অপেক্ষা
তোমরা কি স্কুলের হোমওয়ার্ক শেষ করেছো?,তোমরা স্কুল হোমওয়ার্ক শেষ ?
মিটিংটা ঠিক সময়ে শুরু হয়নি।,মিটিং ঠিক সময় শুরু না
রিকশাওয়ালা বেশি ভাড়া চাইছে।,রিকশাওয়ালা ভাড়া বেশি চাওয়া
বিশ্ববিদ্যালয় জীবন খুব মজার ছিল।,বিশ্ববিদ্যালয় জীবন খুব মজার
আমার সহকর্মীরা খুব সহযোগিতাপূর্ণ।,আমার সহকর্মীরা আমার সাথে খুব সহযোগিতাপূর্ণ
লঞ্চটি আগামীকাল সকালে ছাড়বে।,আগামীকাল সকাল লঞ্চ ছাড়া
সে তার কাজের প্রতি খুবই মনোযোগী।,সে কাজ প্রতি খুব মনোযোগী
ভালো ফলাফল করতে হলে নিয়মিত পড়তে হবে।,ভালো ফলাফল চাই নিয়মিত পড়া
প্লেনটা আকাশে উড়ছে।,প্লেন আকাশ উড়ে
আপনি কি আপনার ফাইলগুলো চেক করেছেন?,আপনি ফাইল চেক ?
আমাদের স্কুলটি নদীর পাড়ে অবস্থিত।,আমাদের স্কুল নদী পাড়ে
এই প্রজেক্টটা শেষ করতে অনেক সময় লাগবে।,এই প্রজেক্ট শেষ অনেক সময়
সাবধানে রাস্তা পার হও।,সাবধান রাস্তা পার
মাস শেষে বেতন পেলে ভালো লাগে।,মাস শেষ বেতন পাওয়া ভালো লাগে
আমি পড়াশোনা শেষ করে ডাক্তার হতে চাই।,আমি পড়াশোনা শেষ ডাক্তার হতে চাই
ডাক্তারের পরামর্শ মেনে চলা উচিত।,ডাক্তার পরামর্শ মেনে চলা উচিত
ঈদের বাজারে খুব ভিড়।,ঈদ বাজার খুব ভিড়
আমার মোবাইল ফোনটা ঠিকমতো কাজ করছে না।,মোবাইল ফোন আমার ঠিক কাজ না
সে গতকাল জ্বরে ভুগছিল।,সে গতকাল জ্বর ভুগে
আমি দোকান থেকে চাল আর ডাল কিনব।,আমি দোকান থেকে চাল ডাল কিনব
ইন্টারনেট ছাড়া এখন এক মুহূর্তও চলা কঠিন।,ইন্টারনেট ছাড়া এখন এক মুহূর্ত চলা কঠিন
নিয়মিত ব্যায়াম করা স্বাস্থ্যের জন্য ভালো।,নিয়মিত ব্যায়াম স্বাস্থ্য জন্য ভালো
এই শাড়িটার দাম কত?,এই শাড়ি দাম কত ?
সে সারাদিন ল্যাপটপে কাজ করে।,সে সারাদিন ল্যাপটপ কাজ
রোগীর অবস্থা এখন একটু ভালো।,রোগী অবস্থা এখন একটু ভালো
আপনি কি এই জামাটা পাল্টে দিতে পারবেন?,আপনি এই জামা পাল্টে দিতে পারবেন ?
নতুন প্রযুক্তি আমাদের জীবন সহজ করে দিয়েছে।,নতুন প্রযুক্তি আমাদের জীবন সহজ
আমার দাঁতে খুব ব্যথা করছে।,আমার দাঁত খুব ব্যথা
কাঁচাবাজারে সবজির দাম অনেক বেড়ে গেছে।,কাঁচাবাজার সবজি দাম অনেক বেড়েছে
তারা একটি নতুন অ্যাপ তৈরি করছে।,তারা নতুন অ্যাপ তৈরি
ঠাণ্ডা পানি খাবেন না।,ঠাণ্ডা পানি খাবেন না
আমি অনলাইন থেকে একটা বই অর্ডার করেছি।,আমি অনলাইন থেকে বই অর্ডার
তোমার কম্পিউটারে কি ভাইরাস ঢুকেছে?,তোমার কম্পিউটার ভাইরাস ঢুকেছে ?
মানসিক স্বাস্থ্যের যত্ন নেওয়া খুবই জরুরি।,মানসিক স্বাস্থ্য যত্ন খুব জরুরি
সে আমাকে একটা ইমেইল পাঠিয়েছিল।,সে আমাকে ইমেইল পাঠায়
আমরা গত শীতে কক্সবাজার গিয়েছিলাম।,আমরা গত শীত কক্সবাজার গেছি
পহেলা বৈশাখ বাঙালির প্রাণের উৎসব।,পহেলা বৈশাখ বাঙালি প্রাণ উৎসব
বাইরে ঝুম বৃষ্টি হচ্ছে।,বাইরে ভারী বৃষ্টি
ফেসবুকে আজকাল অনেক ভুয়া খবর ছড়ায়।,ফেসবুক আজকাল অনেক ভুয়া খবর ছড়ায়
আমি ভবিষ্যতে পুরো বিশ্ব ভ্রমণ করতে চাই।,আমি ভবিষ্যৎ পুরো বিশ্ব ভ্রমণ চাই
একুশে ফেব্রুয়ারি আমরা শহীদ মিনারে ফুল দিই।,একুশে ফেব্রুয়ারি আমরা শহীদ মিনার ফুল দিই
আজকের আবহাওয়াটা খুব সুন্দর।,আজ আবহাওয়া খুব সুন্দর
কাল নাকি অনেক গরম পড়বে।,কাল অনেক গরম হবে
ট্রেন ভ্রমণ আমার খুব পছন্দের।,ট্রেন ভ্রমণ আমার খুব পছন্দ
গ্রামের মেলাগুলো এখন আর আগের মতো বসে না।,গ্রাম মেলা এখন আগের মতো না
সুন্দরবনে বাঘ দেখা যায়।,সুন্দরবন বাঘ দেখা যায়
সে তার ভ্রমণের ছবি ইনস্টাগ্রামে পোস্ট করেছে।,সে ভ্রমণ ছবি ইনস্টাগ্রাম পোস্ট
শীতকালে ভোরে কুয়াশা পড়ে।,শীতকাল ভোর কুয়াশা পড়ে
আপনারা কি কখনো সিলেটে গেছেন?,আপনারা কখনো সিলেট গেছেন ?
গাছ আমাদের অক্সিজেন দেয়।,গাছ আমাদের অক্সিজেন দেয়
বিয়ের অনুষ্ঠানে সবাই খুব আনন্দ করছিল।,বিয়ে অনুষ্ঠান সবাই খুব আনন্দ
অতিরিক্ত সোশ্যাল মিডিয়া ব্যবহার সময় নষ্ট করে।,অতিরিক্ত সোশ্যাল মিডিয়া ব্যবহার সময় নষ্ট
ঝড়ের কারণে অনেক ঘরবাড়ি ভেঙে গেছে।,ঝড় কারণে অনেক ঘরবাড়ি ভেঙে
"প্লিজ, আমাকে একটা টিকেট কেটে দিন।",প্লিজ আমাকে টিকেট কেটে দিন
নদীর পানি দূষিত হয়ে যাচ্ছে।,নদী পানি দূষিত হচ্ছে
খবরটা শুনে আমি খুব অবাক হয়েছিলাম।,খবর শুনে আমি খুব অবাক
সমাজে ধনী-গরিবের বৈষম্য কমানো দরকার।,সমাজ ধনী গরিব বৈষম্য কমানো দরকার
আমি একজন ভালো মানুষ হতে চেষ্টা করছি।,আমি ভালো মানুষ হতে চেষ্টা
বিশ্বজুড়ে অর্থনৈতিক মন্দা চলছে।,বিশ্বজুড়ে অর্থনৈতিক মন্দা চলছে
সে কেন এমন করলো আমি বুঝতে পারছি না।,সে কেন এমন করলো আমি বুঝতে পারি না
বাংলাদেশ ক্রিকেট দল ভালো খেলছে।,বাংলাদেশ ক্রিকেট দল ভালো খেলে
সে তার ভুলের জন্য অনুতপ্ত।,সে ভুল জন্য অনুতপ্ত
আমাদের প্রতিবেশীরা খুবই ভালো মানুষ।,আমাদের প্রতিবেশী খুব ভালো মানুষ
তুমি কি ফুটবল খেলা দেখো?,তুমি ফুটবল খেলা দেখো ?
জীবনে সফল হতে হলে পরিশ্রম করতে হয়।,জীবন সফল হতে পরিশ্রম দরকার
দেশের উন্নয়নের জন্য শিক্ষা অপরিহার্য।,দেশ উন্নয়ন জন্য শিক্ষা অপরিহার্য
যুদ্ধ কখনোই শান্তি আনতে পারে না।,যুদ্ধ কখনো শান্তি আনে না
একাকিত্ব মানুষকে মানসিকভাবে দুর্বল করে দেয়।,একাকিত্ব মানুষ মানসিক দুর্বল করে
ম্যারাডোনার মতো খেলোয়াড় আর আসবে না।,ম্যারাডোনা মতো খেলোয়াড় আর আসবে না
"সে অনেক চেষ্টা করেছিল, কিন্তু সফল হতে পারেনি।",সে অনেক চেষ্টা কিন্তু সফল না
"যারা পরিশ্রম করে, তারাই জীবনে উন্নতি করে।",যারা পরিশ্রম করে তারাই জীবন উন্নতি
"আমি যখন বাড়ি পৌঁছালাম, তখন বৃষ্টি শুরু হলো।",আমি বাড়ি পৌঁছাই তখন বৃষ্টি শুরু
"সে শুধু দেখতেই সুন্দর নয়, তার মনটাও অনেক বড়।",সে শুধু সুন্দর না মন খুব বড়
"যে সমাজে শিক্ষার হার বেশি, সেই সমাজ তত দ্রুত অর্থনৈতিক ও সাংস্কৃতিক দিক দিয়ে এগিয়ে যায়।",যে সমাজ শিক্ষা হার বেশি সেই সমাজ দ্রুত অর্থনৈতিক সাংস্কৃতিক উন্নতি
"পরিবেশ দূষণ একটি বৈশ্বিক সমস্যা, যা সমাধান করার জন্য আমাদের সকলকে একযোগে কাজ করতে হবে।",পরিবেশ দূষণ বৈশ্বিক সমস্যা সমাধান জন্য আমরা সবাই একসাথে কাজ
আমার ছোট বোনটা খুব সুন্দর ছবি আঁকে।,আমার ছোট বোন খুব সুন্দর ছবি আঁকে
সন্ধ্যায় সবাই মিলে একসাথে চা খাওয়া হয়।,সন্ধ্যা সবাই একসাথে চা খায়
দাদাভাইয়ের চশমাটা খুঁজে পাওয়া যাচ্ছে না।,দাদাভাই চশমা খুঁজে পাওয়া না
আমরা ঠিক করেছি এই ঈদে গ্রামে যাবো না।,আমরা ঠিক এই ঈদ গ্রাম যাবো না
তার পরিবারের সবাই খুব শিক্ষিত।,তার পরিবার সবাই খুব শিক্ষিত
আমি কি কাপড়গুলো ধুয়ে দিব?,আমি কাপড় ধুয়ে দিব ?
ঘরটা পরিষ্কার করা দরকার।,ঘর পরিষ্কার দরকার
সে প্রতিদিন গাছগুলোতে পানি দেয়।,সে প্রতিদিন গাছ পানি দেয়
কাজের লোকটা আজ দেরিতে এসেছে।,কাজের লোক আজ দেরি এসেছে
রাতে আমার দেরিতে ঘুমানোর অভ্যাস।,রাতে আমার দেরি ঘুম অভ্যাস
মাংসটা এখনো ভালো করে সেদ্ধ হয়নি।,মাংস এখনো ভালো সেদ্ধ না
আজকের নাস্তায় পরোটা আর ভাজি ছিল।,আজ নাস্তা পরোটা ভাজি
তুমি কি আচার খেতে পছন্দ করো?,তুমি আচার খেতে পছন্দ ?
রেস্টুরেন্টের খাবার আমার ভালো লাগে না।,রেস্টুরেন্ট খাবার আমার ভালো লাগে না
"ফ্রিজে মাছ রাখা আছে, কাল রান্না হবে।",ফ্রিজ মাছ আছে কাল রান্না
সে বৃত্তি পেয়ে বিদেশে পড়তে গেছে।,সে বৃত্তি পেয়ে বিদেশ পড়তে গেছে
এই অঙ্কটা আমি কিছুতেই মিলাতে পারছি না।,এই অঙ্ক আমি মিলাতে পারি না
কাল স্কুল ছুটি থাকবে।,কাল স্কুল ছুটি
তারা ক্লাসে খুব মনোযোগ দিয়ে লেকচার শুনছিল।,তারা ক্লাস মনোযোগ দিয়ে লেকচার শোনে
আমি ভর্তি পরীক্ষার জন্য প্রস্তুতি নিচ্ছি।,আমি ভর্তি পরীক্ষা প্রস্তুতি নিচ্ছি
আমার আগামী সপ্তাহে একটা প্রেজেন্টেশন আছে।,আমার আগামী সপ্তাহ প্রেজেন্টেশন আছে
সে তার বসের সাথে কথা বলতে ভয় পায়।,সে বস সাথে কথা বলতে ভয় পায়
আমি এই চাকরিটা ছেড়ে দেওয়ার কথা ভাবছি।,আমি এই চাকরি ছাড়ার কথা ভাবছি
কোম্পানিতে নতুন লোক নিয়োগ দেওয়া হবে।,কোম্পানি নতুন লোক নিয়োগ
ওভারটাইম করার জন্য আমাকে অফিসে থাকতে হয়েছিল।,ওভারটাইম জন্য আমাকে অফিস থাকতে হয়েছিল
এই পাঞ্জাবিটা কি অন্য রঙের হবে?,এই পাঞ্জাবি অন্য রঙ হবে ?
আমি কিস্তিতে একটা ওয়াশিং মেশিন কিনেছি।,আমি কিস্তি ওয়াশিং মেশিন কিনেছি
ফলের দোকানদার ওজনে কম দিচ্ছিল।,ফল দোকানদার ওজনে কম দেয়
জিনিসপত্রের দাম কমার কোনো লক্ষণ নেই।,জিনিস দাম কমার লক্ষণ নেই
এই দোকানে ভালো মানের মসলা পাওয়া যায়।,এই দোকান ভালো মান মসলা পাওয়া যায়
তার রক্তচাপ বেশ বেড়ে গেছে।,তার রক্তচাপ অনেক বেড়েছে
ডাক্তার তাকে বিশ্রাম নিতে বলেছেন।,ডাক্তার তাকে বিশ্রাম নিতে বলেছেন
আমার চশমার পাওয়ার বদলাতে হবে।,আমার চশমা পাওয়ার বদলাতে হবে
সে তার স্বাস্থ্যের ব্যাপারে খুব উদাসীন।,সে স্বাস্থ্য ব্যাপারে খুব উদাসীন
হাসপাতালে রোগীর অনেক ভিড়।,হাসপাতাল রোগী অনেক ভিড়
আমার পাসপোর্টটা রিনিউ করতে হবে।,আমার পাসপোর্ট রিনিউ করতে হবে
তারা ট্রেনে করে রাজশাহী যাচ্ছে।,তারা ট্রেন রাজশাহী যাচ্ছে
বাসটা হঠাৎ রাস্তায় নষ্ট হয়ে গেল।,বাস হঠাৎ রাস্তা নষ্ট
পাহাড়ে ভ্রমণ করা আমার স্বপ্ন।,পাহাড় ভ্রমণ আমার স্বপ্ন
আপনি কি কখনো একা ভ্রমণ করেছেন?,আপনি কখনো একা ভ্রমণ করেছেন ?
আমার ওয়াইফাই ঠিকমতো কাজ করছে না।,আমার ওয়াইফাই ঠিক কাজ না
সে ভিডিও এডিটিং শিখছে।,সে ভিডিও এডিটিং শিখছে
এই অ্যাপটা ব্যবহার করা খুব সহজ।,এই অ্যাপ ব্যবহার খুব সহজ
অনলাইন মিটিংগুলো প্রায়ই বিরক্তিকর হয়।,অনলাইন মিটিং প্রায়ই বিরক্তিকর
তার ফোনটা পানিতে পড়ে গিয়েছিল।,তার ফোন পানি পড়ে গিয়েছিল
পুরনো স্মৃতি মনে পড়লে মাঝে মাঝে কষ্ট হয়।,পুরনো স্মৃতি মনে পড়লে মাঝে মাঝে কষ্ট
সে তার অনুভূতি সহজে প্রকাশ করতে পারে না।,সে অনুভূতি সহজে প্রকাশ পারে না
মানুষ কেন এত স্বার্থপর হয়?,মানুষ কেন এত স্বার্থপর ?
তার হাসির পেছনে অনেক দুঃখ লুকানো আছে।,তার হাসি পেছনে অনেক দুঃখ লুকানো
"ধৈর্য ধরুন, সব ঠিক হয়ে যাবে।",ধৈর্য ধর সব ঠিক হবে
আজ বেশ রোদ উঠেছে।,আজ খুব রোদ
এই বছর বন্যা হতে পারে।,এই বছর বন্যা হতে পারে
বসন্তকালে কোকিল ডাকে।,বসন্তকাল কোকিল ডাকে
ভূমিকম্পের ভয়ে সবাই ঘর থেকে বেরিয়ে এসেছিল।,ভূমিকম্প ভয় সবাই ঘর থেকে বের
আমাদের ছাদবাগানে অনেক ফুল ফুটেছে।,আমাদের ছাদবাগান অনেক ফুল ফুটেছে
আমি সাঁতার শিখতে চাই।,আমি সাঁতার শিখতে চাই
গতকালের খেলাটা ড্র হয়ে গেল।,গতকাল খেলা ড্র
সে ব্যাডমিন্টন খেলতে খুব ভালোবাসে।,সে ব্যাডমিন্টন খেলতে খুব ভালোবাসে
বিশ্বকাপ ফুটবল নিয়ে সবার মাঝে উত্তেজনা কাজ করছে।,বিশ্বকাপ ফুটবল সবার উত্তেজনা
ছোটবেলায় আমরা মাঠে গোল্লাছুট খেলতাম।,ছোটবেলা আমরা মাঠ গোল্লাছুট খেলতাম
পূজার সময় হিন্দুরা নতুন পোশাক পরে।,পূজা সময় হিন্দু নতুন পোশাক পরে
বইমেলায় এ বছর অনেক নতুন বই এসেছে।,বইমেলা এই বছর অনেক নতুন বই
সে খুব ভালো রবীন্দ্রসংগীত গায়।,সে খুব ভালো রবীন্দ্রসংগীত গায়
আমাদের লোকজ সংস্কৃতি হারিয়ে যাচ্ছে।,আমাদের লোকজ সংস্কৃতি হারিয়ে যাচ্ছে
তারা মঞ্চে একটি নাটক করছিল।,তারা মঞ্চ নাটক করছিল
এলাকার রাস্তাটা মেরামত করা হচ্ছে।,এলাকা রাস্তা মেরামত হচ্ছে
তিনি একজন সম্মানিত সমাজসেবক।,তিনি একজন সম্মানিত সমাজসেবক
প্রতিবেশীর বিপদে এগিয়ে আসা উচিত।,প্রতিবেশী বিপদে এগিয়ে আসা উচিত
তারা একটি স্বেচ্ছাসেবী সংগঠনে কাজ করে।,তারা স্বেচ্ছাসেবী সংগঠন কাজ করে
শহরের জীবনে নাগরিক সুবিধা অনেক বেশি।,শহর জীবন নাগরিক সুবিধা বেশি
আমি টাকা জমানোর চেষ্টা করছি।,আমি টাকা জমানোর চেষ্টা
সে একটি নতুন ব্যবসা শুরু করতে চায়।,সে নতুন ব্যবসা শুরু করতে চায়
আমার অনেক ঋণ হয়ে গেছে।,আমার অনেক ঋণ
আমি নিজের জন্য একটা বাড়ি বানাবো।,আমি নিজের জন্য বাড়ি বানাবো
সে তার লক্ষ্য অর্জনে দৃঢ়প্রতিজ্ঞ।,সে লক্ষ্য অর্জন দৃঢ়প্রতিজ্ঞ
আন্তর্জাতিক বাজারে তেলের দাম বেড়েছে।,আন্তর্জাতিক বাজার তেল দাম বেড়েছে
দুটি দেশের মধ্যে সম্পর্ক ভালো যাচ্ছে না।,দুই দেশ সম্পর্ক ভালো না
সে প্রতিদিন নিয়ম করে খবরের কাগজ পড়ে।,সে প্রতিদিন নিয়ম খবর কাগজ পড়ে
জলবায়ু পরিবর্তন নিয়ে সম্মেলনটি ব্যর্থ হয়েছে।,জলবায়ু পরিবর্তন সম্মেলন ব্যর্থ
বিশ্ব রাজনীতি বোঝা খুব কঠিন।,বিশ্ব রাজনীতি বোঝা কঠিন
মিথ্যা কথা বলা মহাপাপ।,মিথ্যা কথা বলা মহাপাপ
তুমি কি আমার কথা শুনতে পাচ্ছো?,তুমি আমার কথা শুনতে পাচ্ছো ?
সে দেখতে রোগা হলেও শরীরে অনেক শক্তি।,সে দেখতে রোগা কিন্তু শরীর শক্তি অনেক
কেউ আমাকে সেদিন সাহায্য করলো না।,কেউ আমাকে সেদিন সাহায্য করেনি
"আসুন, আমরা একসাথে কাজ করি।",আসুন আমরা একসাথে কাজ
তার ব্যবহার আমাকে খুব অবাক করেছিল।,তার ব্যবহার আমাকে খুব অবাক
বিদ্যুৎ চলে যাওয়ায় ঘরটা অন্ধকার হয়ে গেল।,বিদ্যুৎ চলে যাওয়ায় ঘর অন্ধকার
আমি তোমার জন্য অপেক্ষা করতে থাকবো।,আমি তোমার জন্য অপেক্ষা করবো
সে হয়তো সত্যি কথাটা জানে না।,সে হয়তো সত্য কথা জানে না
শিশুরা কাদামাটি দিয়ে খেলছিল।,শিশু কাদামাটি দিয়ে খেলছিল
"যদি বৃষ্টি না থামে, তাহলে আমরা বের হতে পারবো না।",যদি বৃষ্টি না থামে আমরা বের হতে পারবো না
"যে ছেলেটি গতকাল এসেছিল, সে আমার বন্ধু।",যে ছেলে গতকাল এসেছিল সে আমার বন্ধু
"যদিও তার অনেক টাকা আছে, তবুও সে সুখী নয়।",যদিও তার অনেক টাকা তবু সে সুখী না
আমি বাজারে গিয়ে দেখলাম যে মাছের দাম খুব বেশি।,আমি বাজার গিয়ে দেখি মাছ দাম খুব বেশি
"তুমি যখন ফোন করেছিলে, আমি তখন গোসল করছিলাম।",তুমি ফোন করেছিলে তখন আমি গোসল
"যারা সত্য কথা বলে, সবাই তাদের শ্রদ্ধা করে।",যারা সত্য কথা বলে সবাই তাদের শ্রদ্ধা করে
সে এত জোরে কথা বলছিল যে আমরা সবাই বিরক্ত হচ্ছিলাম।,সে এত জোরে কথা বলছিল আমরা সবাই বিরক্ত
"তিনি শুধু একজন ভালো শিক্ষকই নন, তিনি একজন ভালো লেখকও বটে।",তিনি শুধু ভালো শিক্ষক না ভালো লেখকও
"দেশের যে পরিস্থিতি দাঁড়িয়েছে, তাতে সাধারণ মানুষের বেঁচে থাকাই কঠিন হয়ে পড়েছে।",দেশ পরিস্থিতি এমন সাধারণ মানুষ বাঁচা কঠিন
"আমরা যদি এখনই পরিবেশ রক্ষায় সচেতন না হই, তাহলে ভবিষ্যৎ প্রজন্ম এক ভয়াবহ বিপদের সম্মুখীন হবে।","আমরা যদি এখন পরিবেশ রক্ষা সচেতন না হই, তাহলে ভবিষ্যৎ প্রজন্ম এক ভয়াবহ বিপদ সম্মুখীন হবে।"
আমার অ্যালার্মটা আজ বাজেনি।,আমার অ্যালার্ম আজ বাজা না।
তুমি কি বাথরুম থেকে তোয়ালেটা এনে দেবে?,তুমি কি বাথরুম থেকে তোয়ালে এনে দেওয়া?
ইস্ত্রি করা শার্টগুলো আলমারিতে রাখো।,ইস্ত্রি করা শার্ট আলমারি রাখো।
"মেঝেটা ভেজা, সাবধানে পা ফেলো।","মেঝে ভেজা, সাবধান পা ফেলা।"
আমার চশমাটা পরিষ্কার করা দরকার।,আমার চশমা পরিষ্কার করা দরকার।
সে বারান্দার গ্রিলে হেলান দিয়ে দাঁড়িয়ে ছিল।,সে বারান্দা গ্রিল হেলান দেওয়া দাঁড়ানো।
রাতে মশারির ভেতরেও মশা ঢুকছে।,রাতে মশারি ভেতরে মশা ঢুকা।
বাসার কলিংবেলটা নষ্ট হয়ে গেছে।,বাসা কলিংবেল নষ্ট হওয়া।
আমরা পুরনো আসবাবপত্র বদলে ফেলার কথা ভাবছি।,আমরা পুরনো আসবাবপত্র বদলে ফেলা কথা ভাবছি।
ভাতের মাড় ফেলে দিও না।,ভাত মাড় ফেলে দিও না।
সে টক দই দিয়ে মুরগি মাখিয়ে রাখলো।,সে টক দই দিয়ে মুরগি মাখিয়ে রাখা।
আমার একদম ক্ষুধা নেই।,আমার একদম ক্ষুধা নেই।
প্রেসার কুকারে রান্না করলে সময় বাঁচে।,প্রেসার কুকার রান্না করা সময় বাঁচা।
তারা কাঁটা চামচ দিয়ে খেতে অভ্যস্ত নয়।,তারা কাঁটা চামচ দিয়ে খাওয়া অভ্যস্ত না।
ফ্রিজে রাখা তরকারিটা গরম করে নাও।,ফ্রিজ রাখা তরকারি গরম করা।
আজকের ডালটা খুব ঘন হয়েছে।,আজকের ডালট খুব ঘন।
"পোড়া গন্ধ আসছে, কিছু একটা পুড়ছে।","পোড়া গন্ধ আসা, কিছু একটা পুড়ছে।"
আমার সহকর্মী আজ ছুটিতে আছেন।,আমার সহকর্মী আজ ছুটি।
এই মাসের বেতনের জন্য অপেক্ষা করছি।,এই মাস বেতন জন্য অপেক্ষা করা।
বস আমার কাজে সন্তুষ্ট হয়েছেন।,বস আমার কাজ সন্তুষ্ট হওয়া।
আপনি কি ফাইলটাতে সই করেছেন?,আপনি কি ফাইল সই করা?
সে চাকরি বদলানোর চেষ্টা করছে।,সে চাকরি বদলানো চেষ্টা করা।
কাল আমাদের অফিসে অডিট হবে।,কাল আমাদের অফিস অডিট।
